"ORGID13","ORGANIZATION13","ENGSTATE13","COMMITMENT13","SAT13","ORGID15","ORGANIZATION15","ENGSTATE15","COMMITMENT15","SAT15"
"GCPE","Government Communications and Public Engagement","Disengaged",0,0,"GCPE","Government Communications and Public Engagement","Disengaged",25,12.5
"FIN","Finance","Engaged",100,87.5," "," ",NA,NA,NA
"PGT","Public Guardian and Trustee","Unhappily Dedicated",62.5,50,"PGT","Public Guardian and Trustee","Engaged",87.5,75
"PGT","Public Guardian and Trustee","Minimally Engaged",50,50,"PGT","Public Guardian and Trustee",NA,NA,NA
"GCPE","Government Communications and Public Engagement","Moderately Engaged",62.5,62.5,"GCPE","Government Communications and Public Engagement",NA,NA,50
"NGD","Natural Gas Development including Office of Housing and Construction Standards","Happily Detached",50,75,"NGD","Natural Gas Development including Office of Housing and Construction Standards","Minimally Engaged",25,50
" "," ",NA,NA,NA,"GCPE","Government Communications and Public Engagement","Moderately Engaged",62.5,62.5
" "," ",NA,NA,NA,"EBC","Elections BC","Unhappily Dedicated",75,50
"PGT","Public Guardian and Trustee",NA,NA,NA,"PGT","Public Guardian and Trustee",NA,NA,NA
"GCPE","Government Communications and Public Engagement","Engaged",87.5,87.5,"GCPE","Government Communications and Public Engagement","Moderately Engaged",62.5,62.5
"PGT","Public Guardian and Trustee","Unhappily Dedicated",75,50,"PGT","Public Guardian and Trustee","Unhappily Dedicated",62.5,12.5
"PGT","Public Guardian and Trustee",NA,NA,NA,"PGT","Public Guardian and Trustee","Minimally Engaged",50,25
"PSSG","Public Safety and Solicitor General","Engaged",100,100,"PSSG","Public Safety and Solicitor General",NA,NA,NA
"GCPE","Government Communications and Public Engagement","Happily Detached",37.5,75,"GCPE","Government Communications and Public Engagement","Happily Detached",50,75
"PGT","Public Guardian and Trustee","Minimally Engaged",50,50,"PGT","Public Guardian and Trustee",NA,NA,NA
"PGT","Public Guardian and Trustee","Moderately Engaged",75,62.5,"PGT","Public Guardian and Trustee","Moderately Engaged",62.5,62.5
"PGT","Public Guardian and Trustee","Disengaged",0,25,"PGT","Public Guardian and Trustee","Disengaged",37.5,37.5
"PGT","Public Guardian and Trustee",NA,NA,NA,"PGT","Public Guardian and Trustee",NA,NA,NA
"PGT","Public Guardian and Trustee","Engaged",75,75,"PGT","Public Guardian and Trustee","Moderately Engaged",62.5,75
"PGT","Public Guardian and Trustee","Minimally Engaged",50,50,"PGT","Public Guardian and Trustee","Minimally Engaged",50,37.5
"PGT","Public Guardian and Trustee","Moderately Engaged",62.5,75,"PGT","Public Guardian and Trustee","Happily Detached",50,87.5
"AGRI","Agriculture","Engaged",100,100,"AGRI","Agriculture",NA,NA,NA
"BCPSA","BC Public Service Agency","Engaged",100,100,"BCPSA","BC Public Service Agency","Engaged",100,100
"BCPSA","BC Public Service Agency","Engaged",87.5,100,"BCPSA","BC Public Service Agency","Engaged",75,75
"PGT","Public Guardian and Trustee",NA,NA,12.5,"PGT","Public Guardian and Trustee","Disengaged",12.5,12.5
"GCPE","Government Communications and Public Engagement",NA,NA,NA,"GCPE","Government Communications and Public Engagement",NA,NA,NA
"GCPE","Government Communications and Public Engagement",NA,NA,NA,"GCPE","Government Communications and Public Engagement",NA,NA,NA
"PGT","Public Guardian and Trustee","Engaged",87.5,87.5," "," ",NA,NA,NA
"GCPE","Government Communications and Public Engagement",NA,NA,NA," "," ",NA,NA,NA
"NGD","Natural Gas Development including Office of Housing and Construction Standards","Engaged",100,87.5,"NGD","Natural Gas Development including Office of Housing and Construction Standards","Engaged",87.5,75
"GCPE","Government Communications and Public Engagement","Engaged",75,75,"GCPE","Government Communications and Public Engagement","Engaged",75,75
"PGT","Public Guardian and Trustee","Minimally Engaged",50,50,"PGT","Public Guardian and Trustee",NA,NA,NA
"BCPSA","BC Public Service Agency","Engaged",75,75,"BCPSA","BC Public Service Agency",NA,NA,NA
"PSSG","Public Safety and Solicitor General",NA,NA,NA," "," ",NA,NA,NA
"NGD","Natural Gas Development including Office of Housing and Construction Standards","Unhappily Dedicated",87.5,37.5," "," ",NA,NA,NA
"AG","Attorney General","Moderately Engaged",87.5,62.5,"AG","Attorney General","Happily Detached",37.5,75
" "," ",NA,NA,NA,"AGRI","Agriculture","Engaged",100,100
"GCPE","Government Communications and Public Engagement",NA,NA,NA,"GCPE","Government Communications and Public Engagement","Disengaged",37.5,12.5
"PSSG","Public Safety and Solicitor General","Unhappily Dedicated",87.5,50," "," ",NA,NA,NA
"PGT","Public Guardian and Trustee","Engaged",87.5,100,"PGT","Public Guardian and Trustee","Engaged",87.5,75
"AG","Attorney General","Engaged",87.5,100,"AG","Attorney General","Disengaged",37.5,37.5
"FLNR","Forests, Lands and Natural Resource Operations",NA,NA,NA,"FLNR","Forests, Lands and Natural Resource Operations","Minimally Engaged",50,50
"PGT","Public Guardian and Trustee","Disengaged",37.5,37.5,"PGT","Public Guardian and Trustee","Happily Detached",37.5,62.5
"PGT","Public Guardian and Trustee","Unhappily Dedicated",75,50,"PGT","Public Guardian and Trustee","Unhappily Dedicated",75,50
"PGT","Public Guardian and Trustee","Minimally Engaged",50,50,"PGT","Public Guardian and Trustee",NA,NA,NA
"PGT","Public Guardian and Trustee","Minimally Engaged",50,50,"PGT","Public Guardian and Trustee","Happily Detached",50,75
"FIN","Finance",NA,NA,NA,"FIN","Finance",NA,NA,0
"GCPE","Government Communications and Public Engagement","Engaged",100,75,"GCPE","Government Communications and Public Engagement",NA,NA,NA
"FIN","Finance",NA,NA,75,"FIN","Finance",NA,NA,NA
" "," ",NA,NA,NA,"FIN","Finance","Unhappily Dedicated",62.5,25
"PGT","Public Guardian and Trustee",NA,NA,NA,"PGT","Public Guardian and Trustee",NA,NA,NA
"NGD","Natural Gas Development including Office of Housing and Construction Standards",NA,NA,NA,"NGD","Natural Gas Development including Office of Housing and Construction Standards","Minimally Engaged",50,50
"GCPE","Government Communications and Public Engagement","Engaged",75,75,"AG","Attorney General","Engaged",75,100
"PO","Office of the Premier","Happily Detached",50,75,"PO","Office of the Premier","Happily Detached",50,75
"AG","Attorney General","Unhappily Dedicated",75,50,"AGRI","Agriculture","Engaged",100,87.5
"EBC","Elections BC",NA,NA,50,"PSSG","Public Safety and Solicitor General","Engaged",100,75
"NGD","Natural Gas Development including Office of Housing and Construction Standards","Moderately Engaged",75,62.5,"NGD","Natural Gas Development including Office of Housing and Construction Standards","Engaged",75,75
" "," ",NA,NA,NA,"FIN","Finance","Engaged",100,100
" "," ",NA,NA,NA,"EBC","Elections BC",NA,NA,100
"AGRI","Agriculture","Moderately Engaged",62.5,75,"AGRI","Agriculture","Minimally Engaged",37.5,50
"AG","Attorney General","Happily Detached",50,62.5,"AG","Attorney General","Engaged",75,75
"GCPE","Government Communications and Public Engagement","Minimally Engaged",50,37.5,"GCPE","Government Communications and Public Engagement",NA,NA,NA
"GCPE","Government Communications and Public Engagement",NA,NA,NA,"GCPE","Government Communications and Public Engagement",NA,NA,NA
"PGT","Public Guardian and Trustee","Engaged",100,87.5,"PGT","Public Guardian and Trustee","Engaged",75,87.5
"PGT","Public Guardian and Trustee","Moderately Engaged",75,62.5,"PGT","Public Guardian and Trustee","Unhappily Dedicated",62.5,25
"SDSI","Social Development and Social Innovation","Minimally Engaged",50,37.5," "," ",NA,NA,NA
" "," ",NA,NA,NA,"FIN","Finance","Engaged",75,75
"PGT","Public Guardian and Trustee","Engaged",87.5,75,"PGT","Public Guardian and Trustee","Minimally Engaged",37.5,50
" "," ",NA,NA,NA,"NGD","Natural Gas Development including Office of Housing and Construction Standards","Engaged",75,87.5
"FIN","Finance","Minimally Engaged",37.5,50,"FIN","Finance","Disengaged",37.5,25
"PGT","Public Guardian and Trustee","Happily Detached",25,75,"PGT","Public Guardian and Trustee","Engaged",75,75
"AGRI","Agriculture","Moderately Engaged",62.5,75,"AGRI","Agriculture","Engaged",75,100
"GCPE","Government Communications and Public Engagement",NA,NA,NA,"GCPE","Government Communications and Public Engagement",NA,NA,NA
"PGT","Public Guardian and Trustee","Moderately Engaged",62.5,62.5,"PGT","Public Guardian and Trustee","Engaged",75,87.5
"PGT","Public Guardian and Trustee","Engaged",100,100,"PGT","Public Guardian and Trustee","Unhappily Dedicated",75,37.5
"PGT","Public Guardian and Trustee","Moderately Engaged",75,62.5,"PGT","Public Guardian and Trustee","Minimally Engaged",50,25
"PGT","Public Guardian and Trustee","Unhappily Dedicated",75,50,"PGT","Public Guardian and Trustee","Happily Detached",50,62.5
"PGT","Public Guardian and Trustee","Happily Detached",50,75,"PGT","Public Guardian and Trustee",NA,NA,NA
"GCPE","Government Communications and Public Engagement","Moderately Engaged",75,62.5,"GCPE","Government Communications and Public Engagement",NA,NA,50
"GCPE","Government Communications and Public Engagement",NA,NA,NA," "," ",NA,NA,NA
"PGT","Public Guardian and Trustee","Minimally Engaged",37.5,50,"PGT","Public Guardian and Trustee","Minimally Engaged",50,25
"FIN","Finance","Moderately Engaged",62.5,62.5," "," ",NA,NA,NA
"NGD","Natural Gas Development including Office of Housing and Construction Standards",NA,NA,NA,"NGD","Natural Gas Development including Office of Housing and Construction Standards","Moderately Engaged",62.5,62.5
"PSSG","Public Safety and Solicitor General","Engaged",100,100,"PSSG","Public Safety and Solicitor General","Engaged",87.5,75
"PGT","Public Guardian and Trustee","Engaged",75,87.5,"PGT","Public Guardian and Trustee","Disengaged",25,25
"PSSG","Public Safety and Solicitor General","Minimally Engaged",25,50,"PSSG","Public Safety and Solicitor General","Minimally Engaged",37.5,50
"PSSG","Public Safety and Solicitor General","Minimally Engaged",50,37.5,"PSSG","Public Safety and Solicitor General","Disengaged",12.5,25
"AGRI","Agriculture","Happily Detached",50,62.5,"AGRI","Agriculture","Disengaged",0,0
"PSSG","Public Safety and Solicitor General",NA,NA,NA,"PSSG","Public Safety and Solicitor General",NA,NA,NA
"PSSG","Public Safety and Solicitor General","Engaged",75,87.5,"PSSG","Public Safety and Solicitor General","Engaged",87.5,75
"PSSG","Public Safety and Solicitor General","Engaged",75,87.5," "," ",NA,NA,NA
"PSSG","Public Safety and Solicitor General",NA,NA,NA,"PSSG","Public Safety and Solicitor General","Engaged",87.5,87.5
"PSSG","Public Safety and Solicitor General","Minimally Engaged",37.5,50,"PSSG","Public Safety and Solicitor General","Happily Detached",50,62.5
"PSSG","Public Safety and Solicitor General","Disengaged",25,37.5,"PSSG","Public Safety and Solicitor General","Engaged",75,87.5
"PSSG","Public Safety and Solicitor General","Minimally Engaged",50,50,"PSSG","Public Safety and Solicitor General","Moderately Engaged",62.5,62.5
"PSSG","Public Safety and Solicitor General",NA,NA,NA,"PSSG","Public Safety and Solicitor General",NA,NA,NA
"PSSG","Public Safety and Solicitor General","Disengaged",12.5,0,"PSSG","Public Safety and Solicitor General","Disengaged",0,0
"EBC","Elections BC",NA,NA,NA,"EBC","Elections BC",NA,NA,NA
"GCPE","Government Communications and Public Engagement",NA,NA,NA,"GCPE","Government Communications and Public Engagement","Moderately Engaged",75,62.5
"GCPE","Government Communications and Public Engagement","Unhappily Dedicated",62.5,50,"GCPE","Government Communications and Public Engagement","Moderately Engaged",62.5,62.5
"AG","Attorney General",NA,NA,NA,"AG","Attorney General","Moderately Engaged",62.5,75
"AG","Attorney General","Engaged",75,75,"AG","Attorney General","Engaged",100,87.5
"AG","Attorney General","Engaged",100,100,"AG","Attorney General","Engaged",100,87.5
"PSSG","Public Safety and Solicitor General",NA,NA,NA,"PSSG","Public Safety and Solicitor General",NA,NA,NA
"AG","Attorney General","Unhappily Dedicated",75,50,"AG","Attorney General",NA,NA,NA
"AG","Attorney General","Minimally Engaged",50,50,"AG","Attorney General",NA,NA,NA
"GCPE","Government Communications and Public Engagement","Engaged",100,100,"GCPE","Government Communications and Public Engagement","Minimally Engaged",50,50
"GCPE","Government Communications and Public Engagement","Engaged",75,75,"GCPE","Government Communications and Public Engagement",NA,NA,NA
"PGT","Public Guardian and Trustee","Disengaged",25,25,"PGT","Public Guardian and Trustee","Minimally Engaged",50,50
"GCPE","Government Communications and Public Engagement",NA,NA,NA,"EBC","Elections BC","Engaged",75,75
"GCPE","Government Communications and Public Engagement","Minimally Engaged",50,37.5,"GCPE","Government Communications and Public Engagement","Minimally Engaged",50,50
"AG","Attorney General","Happily Detached",50,62.5,"AG","Attorney General",NA,NA,NA
"EBC","Elections BC","Engaged",100,100,"EBC","Elections BC","Disengaged",25,37.5
"BCPSA","BC Public Service Agency","Moderately Engaged",75,62.5,"BCPSA","BC Public Service Agency",NA,NA,NA
"AG","Attorney General",NA,NA,NA,"AG","Attorney General","Happily Detached",37.5,62.5
"GCPE","Government Communications and Public Engagement","Engaged",87.5,75,"GCPE","Government Communications and Public Engagement","Engaged",100,75
"BCPSA","BC Public Service Agency","Unhappily Dedicated",62.5,25,"BCPSA","BC Public Service Agency",NA,NA,NA
"GCPE","Government Communications and Public Engagement","Engaged",87.5,100,"GCPE","Government Communications and Public Engagement",NA,NA,75
"PGT","Public Guardian and Trustee","Unhappily Dedicated",75,50,"PGT","Public Guardian and Trustee",NA,NA,NA
"PSSG","Public Safety and Solicitor General","Moderately Engaged",62.5,75,"PSSG","Public Safety and Solicitor General",NA,NA,0
"ENV","Environment","Engaged",100,100,"ENV","Environment","Engaged",100,100
" "," ",NA,NA,NA,"AG","Attorney General",NA,NA,NA
"FIN","Finance",NA,NA,50,"FIN","Finance","Moderately Engaged",75,62.5
"EBC","Elections BC","Minimally Engaged",50,50,"EBC","Elections BC","Unhappily Dedicated",75,0
"FIN","Finance","Engaged",100,75,"FIN","Finance","Minimally Engaged",50,25
"EBC","Elections BC","Disengaged",12.5,25,"EBC","Elections BC","Disengaged",0,0
"NGD","Natural Gas Development including Office of Housing and Construction Standards",NA,NA,75," "," ",NA,NA,NA
"NGD","Natural Gas Development including Office of Housing and Construction Standards","Disengaged",37.5,37.5,"EBC","Elections BC","Engaged",100,87.5
"AG","Attorney General","Happily Detached",50,75,"AG","Attorney General",NA,NA,NA
" "," ",NA,NA,NA,"AGRI","Agriculture",NA,NA,NA
"AGRI","Agriculture","Unhappily Dedicated",87.5,37.5,"AGRI","Agriculture","Engaged",100,100
"PGT","Public Guardian and Trustee","Minimally Engaged",25,50,"PGT","Public Guardian and Trustee","Disengaged",12.5,12.5
"GCPE","Government Communications and Public Engagement","Engaged",75,75,"GCPE","Government Communications and Public Engagement","Engaged",75,75
"GCPE","Government Communications and Public Engagement","Engaged",100,75,"FIN","Finance",NA,NA,NA
"PGT","Public Guardian and Trustee","Engaged",75,75,"PGT","Public Guardian and Trustee","Engaged",75,75
"PGT","Public Guardian and Trustee","Moderately Engaged",62.5,75," "," ",NA,NA,NA
"PGT","Public Guardian and Trustee","Disengaged",37.5,25,"PGT","Public Guardian and Trustee","Disengaged",25,0
"PGT","Public Guardian and Trustee",NA,NA,25," "," ",NA,NA,NA
"PSSG","Public Safety and Solicitor General","Engaged",87.5,75," "," ",NA,NA,NA
"BCPSA","BC Public Service Agency","Moderately Engaged",62.5,62.5,"BCPSA","BC Public Service Agency","Moderately Engaged",62.5,62.5
"AG","Attorney General","Disengaged",25,25,"AG","Attorney General","Minimally Engaged",50,50
"GCPE","Government Communications and Public Engagement","Moderately Engaged",87.5,62.5," "," ",NA,NA,NA
"EBC","Elections BC","Disengaged",12.5,25," "," ",NA,NA,NA
"GCPE","Government Communications and Public Engagement","Happily Detached",50,100,"GCPE","Government Communications and Public Engagement","Engaged",75,87.5
"PSSG","Public Safety and Solicitor General","Disengaged",12.5,12.5,"PSSG","Public Safety and Solicitor General","Disengaged",25,37.5
"PSSG","Public Safety and Solicitor General","Disengaged",0,0,"PSSG","Public Safety and Solicitor General","Disengaged",25,0
"PGT","Public Guardian and Trustee","Disengaged",25,37.5," "," ",NA,NA,NA
" "," ",NA,NA,NA,"NGD","Natural Gas Development including Office of Housing and Construction Standards",NA,NA,NA
"PSSG","Public Safety and Solicitor General",NA,NA,NA,"PSSG","Public Safety and Solicitor General","Unhappily Dedicated",75,50
"PSSG","Public Safety and Solicitor General","Engaged",100,87.5,"PSSG","Public Safety and Solicitor General","Engaged",75,75
"PSSG","Public Safety and Solicitor General","Disengaged",25,12.5,"PSSG","Public Safety and Solicitor General","Disengaged",0,12.5
"PGT","Public Guardian and Trustee","Disengaged",25,25,"PGT","Public Guardian and Trustee","Minimally Engaged",37.5,50
"GCPE","Government Communications and Public Engagement",NA,NA,NA,"GCPE","Government Communications and Public Engagement","Happily Detached",37.5,62.5
"FIN","Finance",NA,NA,NA,"FIN","Finance","Unhappily Dedicated",87.5,50
"AG","Attorney General","Moderately Engaged",62.5,62.5," "," ",NA,NA,NA
"AGRI","Agriculture","Engaged",100,75,"AGRI","Agriculture","Engaged",100,75
" "," ",NA,NA,NA,"PSSG","Public Safety and Solicitor General","Engaged",75,75
"FIN","Finance","Unhappily Dedicated",62.5,50,"FIN","Finance",NA,NA,37.5
"BCPSA","BC Public Service Agency","Moderately Engaged",100,62.5,"BCPSA","BC Public Service Agency",NA,NA,NA
"PSSG","Public Safety and Solicitor General",NA,NA,50,"PSSG","Public Safety and Solicitor General",NA,NA,62.5
"PSSG","Public Safety and Solicitor General","Disengaged",25,12.5,"PSSG","Public Safety and Solicitor General","Disengaged",0,0
"PSSG","Public Safety and Solicitor General","Minimally Engaged",37.5,50,"PSSG","Public Safety and Solicitor General","Minimally Engaged",50,12.5
"PSSG","Public Safety and Solicitor General","Engaged",75,87.5,"PSSG","Public Safety and Solicitor General","Moderately Engaged",62.5,100
"PSSG","Public Safety and Solicitor General","Unhappily Dedicated",62.5,50,"PSSG","Public Safety and Solicitor General","Moderately Engaged",75,62.5
"NGD","Natural Gas Development including Office of Housing and Construction Standards",NA,NA,NA,"NGD","Natural Gas Development including Office of Housing and Construction Standards",NA,NA,NA
"EBC","Elections BC","Moderately Engaged",62.5,75,"EBC","Elections BC",NA,NA,NA
"PSSG","Public Safety and Solicitor General","Minimally Engaged",50,37.5,"PSSG","Public Safety and Solicitor General","Disengaged",0,0
"GCPE","Government Communications and Public Engagement",NA,NA,NA," "," ",NA,NA,NA
"PSSG","Public Safety and Solicitor General",NA,NA,75,"PSSG","Public Safety and Solicitor General",NA,NA,NA
"PSSG","Public Safety and Solicitor General","Engaged",100,87.5,"PSSG","Public Safety and Solicitor General","Engaged",100,87.5
"PSSG","Public Safety and Solicitor General",NA,NA,NA,"PSSG","Public Safety and Solicitor General","Moderately Engaged",75,62.5
"PSSG","Public Safety and Solicitor General","Happily Detached",50,75,"PSSG","Public Safety and Solicitor General","Minimally Engaged",50,12.5
"FIN","Finance",NA,NA,NA,"FIN","Finance","Moderately Engaged",75,62.5
"GCPE","Government Communications and Public Engagement","Engaged",75,75,"GCPE","Government Communications and Public Engagement","Engaged",75,75
"NGD","Natural Gas Development including Office of Housing and Construction Standards","Engaged",87.5,75,"GCPE","Government Communications and Public Engagement","Minimally Engaged",0,50
"EBC","Elections BC","Moderately Engaged",62.5,100,"EBC","Elections BC","Disengaged",37.5,12.5
"EBC","Elections BC","Moderately Engaged",75,62.5,"EBC","Elections BC",NA,NA,NA
"EBC","Elections BC","Moderately Engaged",87.5,62.5,"EBC","Elections BC","Moderately Engaged",87.5,62.5
"BCPSA","BC Public Service Agency",NA,NA,NA," "," ",NA,NA,NA
"EBC","Elections BC","Minimally Engaged",25,50,"EBC","Elections BC","Engaged",87.5,75
"EBC","Elections BC","Moderately Engaged",62.5,62.5,"EBC","Elections BC","Engaged",75,75
"AGRI","Agriculture",NA,NA,NA,"AGRI","Agriculture",NA,NA,NA
"BCPSA","BC Public Service Agency",NA,NA,NA,"BCPSA","BC Public Service Agency",NA,NA,NA
"BCPSA","BC Public Service Agency",NA,NA,NA," "," ",NA,NA,NA
"PGT","Public Guardian and Trustee","Unhappily Dedicated",87.5,50,"PGT","Public Guardian and Trustee",NA,NA,NA
"PSSG","Public Safety and Solicitor General","Happily Detached",50,75,"PSSG","Public Safety and Solicitor General","Engaged",87.5,75
"GCPE","Government Communications and Public Engagement",NA,NA,NA,"GCPE","Government Communications and Public Engagement",NA,NA,NA
"EBC","Elections BC","Disengaged",37.5,12.5,"EBC","Elections BC","Disengaged",12.5,37.5
"EBC","Elections BC","Disengaged",37.5,25,"EBC","Elections BC","Disengaged",37.5,37.5
"EBC","Elections BC",NA,NA,NA,"EBC","Elections BC",NA,NA,NA
"EBC","Elections BC","Disengaged",25,25,"EBC","Elections BC",NA,NA,NA
"EBC","Elections BC","Disengaged",0,25,"EBC","Elections BC","Disengaged",0,0
"EBC","Elections BC","Disengaged",25,25," "," ",NA,NA,NA
"PGT","Public Guardian and Trustee","Moderately Engaged",62.5,75,"GCPE","Government Communications and Public Engagement","Engaged",75,100
"EBC","Elections BC","Moderately Engaged",87.5,62.5,"EBC","Elections BC","Disengaged",37.5,12.5
"EBC","Elections BC","Disengaged",25,12.5," "," ",NA,NA,NA
"PGT","Public Guardian and Trustee","Engaged",75,75,"NGD","Natural Gas Development including Office of Housing and Construction Standards","Moderately Engaged",75,62.5
"GCPE","Government Communications and Public Engagement",NA,NA,NA," "," ",NA,NA,NA
"PGT","Public Guardian and Trustee","Disengaged",37.5,37.5," "," ",NA,NA,NA
"AG","Attorney General",NA,NA,50," "," ",NA,NA,NA
"GCPE","Government Communications and Public Engagement","Disengaged",25,0,"FIN","Finance","Unhappily Dedicated",75,37.5
"GCPE","Government Communications and Public Engagement","Engaged",87.5,87.5,"GCPE","Government Communications and Public Engagement","Engaged",75,87.5
"AGRI","Agriculture","Moderately Engaged",100,62.5,"AGRI","Agriculture","Engaged",100,87.5
" "," ",NA,NA,NA,"AGRI","Agriculture",NA,NA,NA
"GCPE","Government Communications and Public Engagement","Engaged",87.5,100,"GCPE","Government Communications and Public Engagement",NA,NA,NA
" "," ",NA,NA,NA,"GCPE","Government Communications and Public Engagement",NA,NA,NA
"AGRI","Agriculture","Engaged",75,75,"AGRI","Agriculture","Engaged",87.5,87.5
"PGT","Public Guardian and Trustee",NA,NA,50,"NGD","Natural Gas Development including Office of Housing and Construction Standards",NA,NA,62.5
"GCPE","Government Communications and Public Engagement","Unhappily Dedicated",62.5,50,"GCPE","Government Communications and Public Engagement",NA,NA,NA
"PSSG","Public Safety and Solicitor General","Engaged",87.5,87.5,"PSSG","Public Safety and Solicitor General","Minimally Engaged",50,50
"GCPE","Government Communications and Public Engagement",NA,NA,NA,"GCPE","Government Communications and Public Engagement","Moderately Engaged",62.5,62.5
"AG","Attorney General","Engaged",75,75,"AG","Attorney General","Moderately Engaged",75,62.5
"GCPE","Government Communications and Public Engagement","Disengaged",12.5,25,"GCPE","Government Communications and Public Engagement",NA,NA,NA
"GCPE","Government Communications and Public Engagement","Engaged",100,75,"AG","Attorney General","Unhappily Dedicated",100,25
"PGT","Public Guardian and Trustee","Moderately Engaged",75,62.5,"PGT","Public Guardian and Trustee","Unhappily Dedicated",62.5,50
"GCPE","Government Communications and Public Engagement",NA,NA,NA," "," ",NA,NA,NA
"NGD","Natural Gas Development including Office of Housing and Construction Standards",NA,NA,NA," "," ",NA,NA,NA
"GCPE","Government Communications and Public Engagement","Minimally Engaged",50,50,"GCPE","Government Communications and Public Engagement","Moderately Engaged",75,62.5
"TICS","Technology, Innovation and Citizens' Services","Engaged",100,100,"EBC","Elections BC","Engaged",100,100
"GCPE","Government Communications and Public Engagement","Moderately Engaged",62.5,75,"GCPE","Government Communications and Public Engagement","Moderately Engaged",62.5,62.5
"GCPE","Government Communications and Public Engagement","Minimally Engaged",37.5,50," "," ",NA,NA,NA
"GCPE","Government Communications and Public Engagement",NA,NA,NA," "," ",NA,NA,NA
"GCPE","Government Communications and Public Engagement","Minimally Engaged",50,25," "," ",NA,NA,NA
"FIN","Finance","Unhappily Dedicated",100,50,"FLNR","Forests, Lands and Natural Resource Operations","Unhappily Dedicated",75,37.5
"PSSG","Public Safety and Solicitor General",NA,NA,NA,"PSSG","Public Safety and Solicitor General",NA,NA,NA
"ENV","Environment",NA,NA,NA,"ENV","Environment",NA,NA,NA
"SDSI","Social Development and Social Innovation","Engaged",87.5,100,"SDSI","Social Development and Social Innovation","Engaged",75,100
"EBC","Elections BC","Disengaged",25,25,"EBC","Elections BC","Disengaged",25,37.5
"SDSI","Social Development and Social Innovation","Happily Detached",37.5,62.5,"SDSI","Social Development and Social Innovation","Happily Detached",37.5,62.5
"AGRI","Agriculture","Engaged",75,75," "," ",NA,NA,NA
"GCPE","Government Communications and Public Engagement","Engaged",75,75,"GCPE","Government Communications and Public Engagement","Moderately Engaged",62.5,75
"GCPE","Government Communications and Public Engagement",NA,NA,NA,"GCPE","Government Communications and Public Engagement",NA,NA,NA
"AG","Attorney General","Moderately Engaged",62.5,75,"AG","Attorney General","Moderately Engaged",62.5,100
"GCPE","Government Communications and Public Engagement",NA,NA,62.5,"GCPE","Government Communications and Public Engagement","Moderately Engaged",62.5,75
"AG","Attorney General",NA,NA,NA,"AG","Attorney General","Disengaged",12.5,0
" "," ",NA,NA,NA,"PO","Office of the Premier","Unhappily Dedicated",62.5,50
"PSSG","Public Safety and Solicitor General","Minimally Engaged",37.5,50,"PSSG","Public Safety and Solicitor General",NA,NA,NA
"AGRI","Agriculture","Minimally Engaged",50,50," "," ",NA,NA,NA
"PO","Office of the Premier","Minimally Engaged",50,37.5,"PSSG","Public Safety and Solicitor General","Minimally Engaged",50,50
"PGT","Public Guardian and Trustee","Moderately Engaged",62.5,100,"PGT","Public Guardian and Trustee","Engaged",100,100
" "," ",NA,NA,NA,"GCPE","Government Communications and Public Engagement","Engaged",100,100
"EBC","Elections BC","Engaged",87.5,75,"EBC","Elections BC","Moderately Engaged",75,62.5
"ENV","Environment","Engaged",75,75,"ENV","Environment","Unhappily Dedicated",75,50
"GCPE","Government Communications and Public Engagement","Unhappily Dedicated",75,50,"GCPE","Government Communications and Public Engagement","Minimally Engaged",50,50
"AG","Attorney General","Engaged",100,100,"AG","Attorney General","Engaged",75,75
"PGT","Public Guardian and Trustee",NA,NA,NA,"PGT","Public Guardian and Trustee","Engaged",100,100
"EBC","Elections BC",NA,NA,NA,"EBC","Elections BC","Happily Detached",50,62.5
"PGT","Public Guardian and Trustee",NA,NA,75,"PGT","Public Guardian and Trustee",NA,NA,75
"PGT","Public Guardian and Trustee",NA,NA,NA,"PGT","Public Guardian and Trustee",NA,NA,NA
"NGD","Natural Gas Development including Office of Housing and Construction Standards","Moderately Engaged",75,62.5,"NGD","Natural Gas Development including Office of Housing and Construction Standards","Engaged",75,75
"PGT","Public Guardian and Trustee",NA,NA,NA," "," ",NA,NA,NA
"PSSG","Public Safety and Solicitor General","Moderately Engaged",62.5,75,"EBC","Elections BC",NA,NA,62.5
"GCPE","Government Communications and Public Engagement",NA,NA,NA,"PGT","Public Guardian and Trustee","Unhappily Dedicated",75,12.5
"GCPE","Government Communications and Public Engagement","Moderately Engaged",75,62.5," "," ",NA,NA,NA
"PGT","Public Guardian and Trustee","Disengaged",25,25,"PGT","Public Guardian and Trustee","Minimally Engaged",50,37.5
"PGT","Public Guardian and Trustee",NA,NA,NA,"PGT","Public Guardian and Trustee",NA,NA,NA
"AG","Attorney General",NA,NA,NA," "," ",NA,NA,NA
"EBC","Elections BC","Engaged",87.5,100,"EBC","Elections BC",NA,NA,NA
"GCPE","Government Communications and Public Engagement","Unhappily Dedicated",100,25,"GCPE","Government Communications and Public Engagement","Moderately Engaged",100,62.5
"EBC","Elections BC","Engaged",75,87.5,"EBC","Elections BC","Moderately Engaged",62.5,75
"FIN","Finance",NA,NA,NA,"FIN","Finance",NA,NA,NA
"BCPSA","BC Public Service Agency","Disengaged",12.5,0,"TICS","Technology, Innovation and Citizens' Services","Disengaged",0,12.5
"NGD","Natural Gas Development including Office of Housing and Construction Standards","Disengaged",0,0," "," ",NA,NA,NA
